SU,28-Dec-99,, 
0,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
2, 40990.050, 10343.440, 512.471, ( 128)
2, 40993.820, 10338.250, 512.359, ( 127)
2, 41001.140, 10330.890, 512.304, ( 126)
2, 41009.640, 10323.940, 512.174, ( 125)
2, 41020.290, 10316.580, 512.135, ( 124)
2, 41029.850, 10309.820, 512.256, ( 123)
2, 41037.460, 10304.780, 512.277, ( 122)
2, 41044.910, 10301.960, 512.288, ( 121)
2, 41056.150, 10299.570, 512.380, ( 120)
2, 41067.620, 10297.240, 512.277, ( 119)
2, 41077.730, 10294.810, 512.238, ( 118)
2, 41089.700, 10292.120, 512.227, ( 117)
2, 41101.020, 10290.020, 512.117, ( 116)
2, 41114.660, 10287.050, 512.082, ( 115)
2, 41128.920, 10284.080, 512.023, ( 114)
2, 41139.050, 10282.690, 512.016, ( 113)
2, 41148.880, 10281.800, 512.066, ( 112)
2, 41159.890, 10281.430, 512.086, ( 111)
2, 41172.730, 10281.040, 511.994, ( 110)
2, 41184.270, 10279.880, 511.830, ( 109)
2, 41197.640, 10277.940, 511.859, ( 108)
2, 41210.360, 10276.140, 511.804, ( 107)
2, 41223.240, 10273.710, 511.613, ( 106)
2, 41236.670, 10270.290, 511.676, ( 105)
2, 41246.060, 10267.760, 511.621, ( 104)
2, 41258.210, 10266.190, 511.670, ( 103)
2, 41268.740, 10265.470, 511.571, ( 102)
2, 41280.920, 10264.590, 511.540, ( 101)
2, 41290.440, 10264.610, 511.789, ( 100)
2, 41301.640, 10264.350, 511.711, (  99)
2, 41309.690, 10265.850, 510.776, (  98)
2, 41314.620, 10266.690, 509.922, (  97)
2, 41309.140, 10267.360, 510.733, (  96)
2, 41301.620, 10267.740, 511.531, (  95)
2, 41294.880, 10268.590, 511.677, (  94)
2, 41283.330, 10269.170, 511.537, (  93)
2, 41270.160, 10269.620, 511.512, (  92)
2, 41262.130, 10270.000, 511.487, (  91)
2, 41250.640, 10271.980, 511.496, (  90)
2, 41243.130, 10274.200, 511.472, (  89)
2, 41232.430, 10276.910, 511.441, (  88)
2, 41222.200, 10279.280, 511.526, (  87)
2, 41213.100, 10280.940, 511.719, (  86)
2, 41200.090, 10282.590, 511.689, (  85)
2, 41183.400, 10284.530, 511.831, (  84)
